"FK","KD_JENIS_TRANSAKSI","FG_PENGGANTI","NOMOR_FAKTUR","MASA_PAJAK","TAHUN_PAJAK","TANGGAL_FAKTUR","NPWP","NAMA","ALAMAT_LENGKAP","JUMLAH_DPP","JUMLAH_PPN","JUMLAH_PPNBM","ID_KETERANGAN_TAMBAHAN","FG_UANG_MUKA","UANG_MUKA_DPP","UANG_MUKA_PPN","UANG_MUKA_PPNBM","REFERENSI"
"FK","2","0","0000000000143","7","2019","2019-01-07","NIK : 1371025412920005","DEBELLEZA COSMETIK ( WEMPI MUTAQIN )","Jln. Joni Anwar No.13 Ulak Karang, Padang","911635.2000000001","91163.5","0","","0","0","0","0","19.000041"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02869","Cleansing Aqua Cool Milk (RSH 100)","31818.0","3","95454.0","19090.8","76363.2","7636.3","0","0","","","","","","","",""
"OF","02870","Cleansing Aqua Cool Lotion (RSH 101)","31818.0","3","95454.0","19090.8","76363.2","7636.3","0","0","","","","","","","",""
"OF","02871","Cleansing Aqua Cool Purifying Lotion (RSH 102)","31818.0","2","63636.0","12727.2","50908.8","5090.9","0","0","","","","","","","",""
"OF","02872","Cleansing Aqua Cool Purifying Milk (RSH 108)","35455.0","3","106365.0","21273.0","85092.0","8509.2","0","0","","","","","","","",""
"OF","02885","Whitening White Vitaly Cream (RSH 160)","44545.0","3","133635.0","26727.0","106908.0","10690.8","0","0","","","","","","","",""
"OF","02886","Whitening Spot Clearness Serum (RSH 161)","50000.0","6","300000.0","60000.0","240000.0","24000.0","0","0","","","","","","","",""
"OF","02957","New Exp Matte Lip Paint 02 (RMH 892)","53636.0","3","160908.0","32181.6","128726.4","12872.6","0","0","","","","","","","",""
"OF","02978","UV Lite Powdery Found 03 (RMH 512)","61364.0","3","184092.0","36818.4","147273.6","14727.4","0","0","","","","","","","",""
"FK","2","0","0000000000144","7","2019","2019-01-07","NIK : 1371094104220005","RUMAH LIPS ( RIRIN ARINI PUJIAWATI )","Jln. Jhoni Anwar Ulak Karang Padang
","554908.0","55490.8","0","","0","0","0","0","19.000042"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02869","Cleansing Aqua Cool Milk (RSH 100)","31818.0","2","63636.0","12727.2","50908.8","5090.9","0","0","","","","","","","",""
"OF","02870","Cleansing Aqua Cool Lotion (RSH 101)","31818.0","2","63636.0","12727.2","50908.8","5090.9","0","0","","","","","","","",""
"OF","02871","Cleansing Aqua Cool Purifying Lotion (RSH 102)","31818.0","3","95454.0","19090.8","76363.2","7636.3","0","0","","","","","","","",""
"OF","02872","Cleansing Aqua Cool Purifying Milk (RSH 108)","35455.0","3","106365.0","21273.0","85092.0","8509.2","0","0","","","","","","","",""
"OF","02875","Deep Cleansing Double Action Pelling (RSH 110)","40909.0","3","122727.0","24545.4","98181.6","9818.2","0","0","","","","","","","",""
"OF","02876","Spesifik Mask Lightening Lift Mask (RSH 111)","41818.0","3","125454.0","25090.8","100363.2","10036.3","0","0","","","","","","","",""
"OF","02877","Moisturizing Hydra-C Moisturizing Gel (RSH 120)","35909.0","2","71818.0","14363.6","57454.4","5745.4","0","0","","","","","","","",""
"OF","02885","Whitening White Vitaly Cream (RSH 160)","44545.0","1","44545.0","8909.0","35636.0","3563.6","0","0","","","","","","","",""
"FK","2","0","0000000000145","7","2019","2019-01-07","NIK : 1372020402830021","TOKO ORI ( ORIANTO )","Pasar Solok Blok N No. 74, Solok","1318547.2","131854.30000000002","0","","0","0","0","0","19.000043"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02890","Blush On 01 (RMH 532)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","02891","Blush On 02 (RMH 533)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","02896","True Cover Found 02 (RMH 551)","50000.0","1","50000.0","10000.0","40000.0","4000.0","0","0","","","","","","","",""
"OF","02898","True Cover Found 04 (RMH 553)","50000.0","2","100000.0","20000.0","80000.0","8000.0","0","0","","","","","","","",""
"OF","02903","Eye Shadow Compact 03 (RMH 608)","54091.0","2","108182.0","21636.4","86545.6","8654.6","0","0","","","","","","","",""
"OF","02925","Lipstick  04 (RMH 803)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02926","Lipstick  05 (RMH 804)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02927","Lipstick  06 (RMH 805)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02928","Lipstick  07 (RMH 806)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02929","Lipstick  08 (RMH 807)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02930","Lipstick  09 (RMH 808)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02932","Lipstick  11 (RMH 810)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02933","Lipstick  12 (RMH 811)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02934","Lipstick  13 (RMH 812)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02935","Lipstick  14 (RMH 813)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02937","Lipstick  16 (RMH 815)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02976","UV Lite Powdery Found 01 (RMH 510)","61364.0","2","122728.0","24545.6","98182.4","9818.2","0","0","","","","","","","",""
"OF","02978","UV Lite Powdery Found 03 (RMH 512)","61364.0","2","122728.0","24545.6","98182.4","9818.2","0","0","","","","","","","",""
"OF","02981","Refiil UV Lite Powdery Found 01 (RMH 510R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","02982","Refiil UV Lite Powdery Found 02 (RMH 511R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","02983","Refiil UV Lite Powdery Found 03 (RMH 512R)","44091.0","2","88182.0","17636.4","70545.6","7054.6","0","0","","","","","","","",""
"OF","02985","Refiil UV Lite Powdery Found 05 (RMH 514R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"FK","2","0","0000000000146","7","2019","2019-01-07","01.800.552.0-201.000","SEMEN PADANG HOSPITAL","Jl. By Pass Km 7 RT 07 RW 04 Pisang Pauh","1.128E8","1.128E7","0","","0","0","0","0","19.000044"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00173","FILM DI-HL 26X36","4600000.0","5","2.3E7","0.0","2.3E7","2300000.0","0","0","","","","","","","",""
"OF","00173","FILM DI-HL 26X36","4600000.0","7","3.22E7","0.0","3.22E7","3220000.0","0","0","","","","","","","",""
"OF","01041","FILM DI-HL 35X43","4800000.0","12","5.76E7","0.0","5.76E7","5760000.0","0","0","","","","","","","",""
"FK","2","0","0000000000147","7","2019","2019-01-07","NIK : 1372021907570021","TOKO VISA DALAM ( YOSEPRIZAL )","Solok
","704362.4","70436.4","0","","0","0","0","0","19.000045"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02878","Moisturizing Age Defting Cream (RSH 121)","44545.0","2","89090.0","17818.0","71272.0","7127.2","0","0","","","","","","","",""
"OF","02890","Blush On 01 (RMH 532)","44091.0","1","44091.0","8818.2","35272.8","3527.3","0","0","","","","","","","",""
"OF","02891","Blush On 02 (RMH 533)","44091.0","1","44091.0","8818.2","35272.8","3527.3","0","0","","","","","","","",""
"OF","02895","True Cover Found 01 (RMH 550)","50000.0","2","100000.0","20000.0","80000.0","8000.0","0","0","","","","","","","",""
"OF","02897","True Cover Found 03 (RMH 552)","50000.0","2","100000.0","20000.0","80000.0","8000.0","0","0","","","","","","","",""
"OF","02949","Liquid Defying Care Found 01 (RMH 772)","47727.0","1","47727.0","9545.4","38181.6","3818.2","0","0","","","","","","","",""
"OF","02950","Liquid Defying Care Found 02 (RMH 773)","47727.0","1","47727.0","9545.4","38181.6","3818.2","0","0","","","","","","","",""
"OF","02951","Liquid Defying Care Found 03 (RMH 774)","47727.0","1","47727.0","9545.4","38181.6","3818.2","0","0","","","","","","","",""
"OF","02952","Liquid Matifying Care Found 01 (RMH 775)","47727.0","1","47727.0","9545.4","38181.6","3818.2","0","0","","","","","","","",""
"OF","02953","Liquid Matifying Care Found 02 (RMH 776)","47727.0","1","47727.0","9545.4","38181.6","3818.2","0","0","","","","","","","",""
"OF","02981","Refiil UV Lite Powdery Found 01 (RMH 510R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","02982","Refiil UV Lite Powdery Found 02 (RMH 511R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"FK","2","0","0000000000148","7","2019","2019-01-07","-","PT. AMANAH JAYA BERSAMA","Jl. Enggang II No.6 Tabing Padang","1300000.0","130000.0","0","","0","0","0","0","19.000046"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03233","I Paper Plate","2600.0","500","1300000.0","0.0","1300000.0","130000.0","0","0","","","","","","","",""
"FK","2","0","0000000000149","7","2019","2019-01-07","-","EVENT SPARINDO","Padang","387365.4","0.0","0","","0","0","0","0","MA.190004"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02217","Nosy HS  Pouch 420ml Strawberry","15270.0","1","15270.0","1527.0","13743.0","0.0","0","0","","","","","","","",""
"OF","02219","Bio Placenta HBL Sunflower  400ml Gold","16704.0","1","16704.0","2505.6","14198.4","0.0","0","0","","","","","","","",""
"OF","02344","BDL Body Wash 245ml Sulfur Antiseptic ","18720.0","13","243360.0","48672.0","194688.0","0.0","0","0","","","","","","","",""
"OF","02466","BDL Avocado Body Wash 245ml","18720.0","5","93600.0","18720.0","74880.0","0.0","0","0","","","","","","","",""
"OF","02476","BDL Mangosteen  Body Wash 245ml","18720.0","6","112320.0","22464.0","89856.0","0.0","0","0","","","","","","","",""
"FK","2","0","0000000000150","7","2019","2019-01-07","-","RSUD KOTA PARIAMAN","Jln. Prof. Yamin SH No. 5","137500.0","0.0","0","","0","0","0","0","MA.190005"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02771","Buku Ishara (Test Buta Warna) OM","137500.0","1","137500.0","0.0","137500.0","0.0","0","0","","","","","","","",""
"FK","2","0","0000000000151","7","2019","2019-01-07","NIK : 1371115503910009","TOKO PADANG MAKE UP STORE ( YOUMEDA RESTA )","Jln. S Parman No.84 C Padang","1836720.8","183672.0","0","","0","0","0","0","19.000047"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02869","Cleansing Aqua Cool Milk (RSH 100)","31818.0","6","190908.0","38181.6","152726.4","15272.6","0","0","","","","","","","",""
"OF","02877","Moisturizing Hydra-C Moisturizing Gel (RSH 120)","35909.0","2","71818.0","14363.6","57454.4","5745.4","0","0","","","","","","","",""
"OF","02883","Oily And Acne Clear Gel (RSH 151)","47727.0","6","286362.0","57272.4","229089.6","22909.0","0","0","","","","","","","",""
"OF","02889","Body Care White Delight Body Care (RBH 300)","40909.0","6","245454.0","49090.8","196363.2","19636.3","0","0","","","","","","","",""
"OF","02919","Mascara Exp Premium Black (RMH 763)","56818.0","10","568180.0","113636.0","454544.0","45454.4","0","0","","","","","","","",""
"OF","02925","Lipstick  04 (RMH 803)","35909.0","4","143636.0","28727.2","114908.8","11490.9","0","0","","","","","","","",""
"OF","02926","Lipstick  05 (RMH 804)","35909.0","6","215454.0","43090.8","172363.2","17236.3","0","0","","","","","","","",""
"OF","02932","Lipstick  11 (RMH 810)","35909.0","6","215454.0","43090.8","172363.2","17236.3","0","0","","","","","","","",""
"OF","02935","Lipstick  14 (RMH 813)","35909.0","6","215454.0","43090.8","172363.2","17236.3","0","0","","","","","","","",""
"OF","02952","Liquid Matifying Care Found 01 (RMH 775)","47727.0","3","143181.0","28636.2","114544.8","11454.5","0","0","","","","","","","",""
"FK","2","0","0000000000152","7","2019","2019-01-08","NIK : 1372025004640001","TOKO JIREK ( YUDESMI )","Perumnas Tanjung harapan  Indah  003/003 Tanjung Paku Tanjung Harapan Indah Solok
","1143633.5999999999","114363.4","0","","0","0","0","0","19.000048"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02877","Moisturizing Hydra-C Moisturizing Gel (RSH 120)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02885","Whitening White Vitaly Cream (RSH 160)","44545.0","3","133635.0","26727.0","106908.0","10690.8","0","0","","","","","","","",""
"OF","02888","Sun Screen Total Sun Block Gel (RSH 171)","29545.0","2","59090.0","11818.0","47272.0","4727.2","0","0","","","","","","","",""
"OF","02891","Blush On 02 (RMH 533)","44091.0","1","44091.0","8818.2","35272.8","3527.3","0","0","","","","","","","",""
"OF","02895","True Cover Found 01 (RMH 550)","50000.0","1","50000.0","10000.0","40000.0","4000.0","0","0","","","","","","","",""
"OF","02922","Lipstick  01 (RMH 800)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02924","Lipstick  03 (RMH 802)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02930","Lipstick  09 (RMH 808)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02950","Liquid Defying Care Found 02 (RMH 773)","47727.0","2","95454.0","19090.8","76363.2","7636.3","0","0","","","","","","","",""
"OF","02951","Liquid Defying Care Found 03 (RMH 774)","47727.0","2","95454.0","19090.8","76363.2","7636.3","0","0","","","","","","","",""
"OF","02952","Liquid Matifying Care Found 01 (RMH 775)","47727.0","3","143181.0","28636.2","114544.8","11454.5","0","0","","","","","","","",""
"OF","02981","Refiil UV Lite Powdery Found 01 (RMH 510R)","44091.0","6","264546.0","52909.2","211636.8","21163.7","0","0","","","","","","","",""
"OF","02982","Refiil UV Lite Powdery Found 02 (RMH 511R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","02991","Care Powder Lightening 02 (RMH 527)","49091.0","2","98182.0","19636.4","78545.6","7854.6","0","0","","","","","","","",""
"OF","02992","Care Powder Lightening 03 (RMH 528)","49091.0","2","98182.0","19636.4","78545.6","7854.6","0","0","","","","","","","",""
"FK","2","0","0000000000153","7","2019","2019-01-08","NIK: 1371031108600005","TOKO VIRMA ( EDISON )","Pasar Raya Padang","2345814.400000001","234581.90000000005","0","","0","0","0","0","19.000049"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02873","Cleansing Gentle Foaming Cream (RSH 103)","35455.0","6","212730.0","42546.0","170184.0","17018.4","0","0","","","","","","","",""
"OF","02878","Moisturizing Age Defting Cream (RSH 121)","44545.0","5","222725.0","44545.0","178180.0","17818.0","0","0","","","","","","","",""
"OF","02885","Whitening White Vitaly Cream (RSH 160)","44545.0","1","44545.0","8909.0","35636.0","3563.6","0","0","","","","","","","",""
"OF","02888","Sun Screen Total Sun Block Gel (RSH 171)","29545.0","3","88635.0","17727.0","70908.0","7090.8","0","0","","","","","","","",""
"OF","02922","Lipstick  01 (RMH 800)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02924","Lipstick  03 (RMH 802)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02925","Lipstick  04 (RMH 803)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02930","Lipstick  09 (RMH 808)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02935","Lipstick  14 (RMH 813)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02936","Lipstick  15 (RMH 814)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02938","Lipstick  17 (RMH 816)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02939","Lipstick  18 (RMH 817)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02940","Lipstick  19 (RMH 818)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02942","Lipstick  21 (RMH 820)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02943","Lipstick  22 (RMH 821)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02944","Lipstick  23 (RMH 822)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02951","Liquid Defying Care Found 03 (RMH 774)","47727.0","3","143181.0","28636.2","114544.8","11454.5","0","0","","","","","","","",""
"OF","02957","New Exp Matte Lip Paint 02 (RMH 892)","53636.0","1","53636.0","10727.2","42908.8","4290.9","0","0","","","","","","","",""
"OF","02958","New Exp Matte Lip Paint 03 (RMH 893)","53636.0","3","160908.0","32181.6","128726.4","12872.6","0","0","","","","","","","",""
"OF","02960","New Exp Matte Lip Paint 05 (RMH 895)","53636.0","3","160908.0","32181.6","128726.4","12872.6","0","0","","","","","","","",""
"OF","02976","UV Lite Powdery Found 01 (RMH 510)","61364.0","3","184092.0","36818.4","147273.6","14727.4","0","0","","","","","","","",""
"OF","02978","UV Lite Powdery Found 03 (RMH 512)","61364.0","6","368184.0","73636.8","294547.2","29454.7","0","0","","","","","","","",""
"FK","2","0","0000000000154","7","2019","2019-01-08","NIK :1376010893005","TOKO CARANO ( HARIS HASAIN NOVIALDI )","Jln. Labuah Basilang Payakumbuh","2070870.6","207087.1","0","","0","0","0","0","19.000050"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03019","Eyeliner Pen Black","41818.0","6","250908.0","45163.4","205744.6","20574.5","0","0","","","","","","","",""
"OF","03020","Eyeliner Gel Black","50000.0","6","300000.0","54000.0","246000.0","24600.0","0","0","","","","","","","",""
"OF","03039","Glam Rock foundation Stunning 01 ","136364.0","1","136364.0","24545.5","111818.5","11181.8","0","0","","","","","","","",""
"OF","03040","Glam Rock Foundation Enchanting 1.5 ","136364.0","1","136364.0","24545.5","111818.5","11181.8","0","0","","","","","","","",""
"OF","03041","Glam Rock  Foundation Charming 02 ","136364.0","1","136364.0","24545.5","111818.5","11181.8","0","0","","","","","","","",""
"OF","03042","Glam Rock Foundation Alluring 03 ","136364.0","1","136364.0","24545.5","111818.5","11181.8","0","0","","","","","","","",""
"OF","03043","Glam Rock Foundation Apealling 04 ","136364.0","1","136364.0","24545.5","111818.5","11181.8","0","0","","","","","","","",""
"OF","03044","Lip Matte Dolce 702 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03045","Lip Matte Chocomelt 703 ","71818.0","2","143636.0","25854.5","117781.5","11778.2","0","0","","","","","","","",""
"OF","03046","Lip Matte Dine In Wine 704 ","71818.0","2","143636.0","25854.5","117781.5","11778.2","0","0","","","","","","","",""
"OF","03047","Lip Matte Amore 706 ","71818.0","2","143636.0","25854.5","117781.5","11778.2","0","0","","","","","","","",""
"OF","03049","Lip Matte So Like It 708 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03051","Lip Matte Full Bloom 710 ","71818.0","2","143636.0","25854.5","117781.5","11778.2","0","0","","","","","","","",""
"OF","03063","Lip Matte Midnight Rush 705","71818.0","2","143636.0","25854.5","117781.5","11778.2","0","0","","","","","","","",""
"OF","03108","Lip Matte Calm Sense (701)","71818.0","2","143636.0","25854.5","117781.5","11778.2","0","0","","","","","","","",""
"FK","2","0","0000000000155","7","2019","2019-01-08","NIK :1376010893005","TOKO CARANO ( HARIS HASAIN NOVIALDI )","Jln. Labuah Basilang Payakumbuh","461797.19999999995","46179.600000000006","0","","0","0","0","0","19.000051"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02981","Refiil UV Lite Powdery Found 01 (RMH 510R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","02985","Refiil UV Lite Powdery Found 05 (RMH 514R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","02986","Refiil UV Lite Powdery Found 06 (RMH 515R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","03174","IMP Eye Pencil Black ","4455.0","12","53460.0","5346.0","48114.0","4811.4","0","0","","","","","","","",""
"OF","03175","IMP Eye Pencil Brown","4455.0","24","106920.0","10692.0","96228.0","9622.8","0","0","","","","","","","",""
"FK","2","0","0000000000156","7","2019","2019-01-08","70.546.776.9-024.000","PT. MEGA INFRA ADITAMA","Jln. Bambu Apus Raya  No.121 Jakarta Timur ","808500.0","80850.0","0","","0","0","0","0","19.000052"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00377","NACL 0.9 %  (OGB)","6600.0","30","198000.0","0.0","198000.0","19800.0","0","0","","","","","","","",""
"OF","01827","WILLI RUSH Folley Catheter 2 way N0.16","20350.0","30","610500.0","0.0","610500.0","61050.0","0","0","","","","","","","",""
"FK","2","0","0000000000157","7","2019","2019-01-08","16.154.322.8-201.000","REZKY MART (Syamsurizal)","Jl. Raya Kalawi No. 60 Padang
","341784.0","34178.399999999994","0","","0","0","0","0","19.000053"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","12","59568.0","0.0","59568.0","5956.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"OF","02188","Nosy HS  Pouch 420ml Aloevera","13882.0","3","41646.0","0.0","41646.0","4164.6","0","0","","","","","","","",""
"OF","02217","Nosy HS  Pouch 420ml Strawberry","13882.0","3","41646.0","0.0","41646.0","4164.6","0","0","","","","","","","",""
"OF","03181","IMP NAil Polis 088 Calour ","3523.0","12","42276.0","0.0","42276.0","4227.6","0","0","","","","","","","",""
"FK","2","0","0000000000158","7","2019","2019-01-08","NIK : 3216066406770004","HSB  ( ERNA MELANI )","BelakanG Lintas Padang","805658.4","80565.8","0","","0","0","0","0","19.000054"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03174","IMP Eye Pencil Black ","4455.0","72","320760.0","32076.0","288684.0","28868.4","0","0","","","","","","","",""
"OF","03175","IMP Eye Pencil Brown","4455.0","72","320760.0","32076.0","288684.0","28868.4","0","0","","","","","","","",""
"OF","03181","IMP NAil Polis 088 Calour ","3523.0","72","253656.0","25365.6","228290.4","22829.0","0","0","","","","","","","",""
"FK","2","0","0000000000159","7","2019","2019-01-08","03.308.532.5-201.000","INDAH SWALAYAN (CV Indah Mandiri)","Raya Siteba No.53 Padang","420432.0","42043.2","0","","0","0","0","0","19.000055"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","12","59568.0","0.0","59568.0","5956.8","0","0","","","","","","","",""
"OF","02178","BDL Bengkoang Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"OF","02704","BDL Temulawak Soap With Vit C 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"FK","2","0","0000000000160","7","2019","2019-01-08","08.101.455.7-201.000","CITRA SWALAYAN BELIMBING ( REDIAN FIKRI )","Belimbing Padang","1052574.0","105257.4","0","","0","0","0","0","19.000056"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","24","204216.0","0.0","204216.0","20421.6","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","3","47730.0","0.0","47730.0","4773.0","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","24","119136.0","0.0","119136.0","11913.6","0","0","","","","","","","",""
"OF","02178","BDL Bengkoang Soap With Vit ACE 128 gr","8509.0","24","204216.0","0.0","204216.0","20421.6","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","24","109080.0","0.0","109080.0","10908.0","0","0","","","","","","","",""
"OF","02439","BDL Bengkoang Body Lotion 600ml","18300.0","3","54900.0","0.0","54900.0","5490.0","0","0","","","","","","","",""
"OF","02704","BDL Temulawak Soap With Vit C 128 gr","8509.0","24","204216.0","0.0","204216.0","20421.6","0","0","","","","","","","",""
"OF","02741","BDL Sulfur Soap 60gr","4545.0","24","109080.0","0.0","109080.0","10908.0","0","0","","","","","","","",""
"FK","2","0","0000000000161","7","2019","2019-01-08","06.979.103.6-201.000","CITRA SWALAYAN KURANJI ( GUSPARDI GAUS )","Kuranji Padang","744492.0","74449.2","0","","0","0","0","0","19.000057"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","24","204216.0","0.0","204216.0","20421.6","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","3","47730.0","0.0","47730.0","4773.0","0","0","","","","","","","",""
"OF","02169","Bio Placenta Body Lotion Kuning 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02171","Bio Placenta Body Lotion Green Tea 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","24","119136.0","0.0","119136.0","11913.6","0","0","","","","","","","",""
